Team,color1,color2,,
Atlanta Hawks,#E03A3E,#C3D600,,source
Boston Celtics,#008348,#000000,,team color codes.com
Brooklyn Nets,#000000,#FFFFFF,,
Charlotte Hornets,#008CA8,#1D1160,,
Chicago Bulls,#CE1141,#000000,,
Cleveland Cavaliers,#860038,#FDBB30,,
Dallas Mavericks,#007DC5,#C4CED3,,
Denver Nuggets,#FFB20F,#4FA8FF,,
Detroit Pistons,#ED174C,#006BB6,,
Golden State Warriors,#FDB927,#006BB6,,
Houston Rockets,#CE1141,#C4CED3,,
Indiana Pacers,#00275D,#FFC633,,
Los Angeles Clippers,#ED174C,#006BB6,,
Los Angeles Lakers,#552582,#FDB927,,
Memphis Grizzlies,#23375B,#6189B9,,
Miami Heat,#98002E,#F9A01B,,
Milwaukee Bucks,#00471B,#EEE1C6,,
Minnesota Timberwolves,#005083,#00A94F,,
New Orleans Pelicans,#002B5C,#B4975A,,
New York Knicks,#006BB6,#F58426,,
Oklahoma City Thunder,#007DC3,#F05133,,
Orlando Magic,#C4CED3,#007DC5,,
Philadelphia 76ers,#ED174C,#006BB6,,
Phoenix Suns,#E56020,#1D1160,,
Portland Trailblazers,#F0163A,#B6BFBF,,
Sacramento Kings,#724C9F,#8E9090,,
San Antonio Spurs,#B6BFBF,#000000,,
Toronto Raptors,#CE1141,#C4CED3,,
Utah Jazz,#00471B,#F9A01B,
Washington Wizards,#002566,#F5002F,,